pt1_cam1_X,pt1_cam1_Y
311.206697,343.315644
311.410000,346.640000
311.110000,349.490000
310.030000,352.890000
308.320000,355.990000
306.870000,358.760000
305.300000,361.340000
304.250000,363.320000
303.250000,365.070000
302.420000,366.720000
301.360000,368.370000
300.130000,371.520000
299.170000,374.290000
297.950000,377.160000
296.960000,379.760000
296.150000,381.930000
295.280000,384.110000
294.600000,386.060000
293.900000,388.040000
292.980000,390.600000
291.960000,393.420000
290.810000,396.330000
289.820000,399.000000
288.700000,401.460000
286.960000,403.610000
284.510000,405.350000
282.070000,406.290000
280.110000,406.640000
278.460000,406.980000
276.340000,406.170000
273.940000,404.560000
272.190000,402.740000
271.010000,400.810000
270.130000,397.570000
269.910000,394.700000
269.960000,391.730000
270.200000,389.190000
270.450000,387.190000
271.830000,384.950000
273.690000,382.960000
275.960000,381.120000
278.150000,379.660000
280.060000,378.540000
282.250000,377.400000
283.960000,376.600000
287.000000,376.710000
290.260000,376.800000
293.230000,376.710000
295.840000,376.840000
298.070000,376.930000
300.180000,377.340000
302.650000,378.240000
305.410000,379.540000
308.140000,381.220000
310.860000,383.070000
312.910000,384.810000
314.800000,386.500000
316.320000,387.840000
317.840000,389.120000
319.250000,391.140000
321.020000,394.010000
322.320000,396.920000
323.290000,399.410000
323.960000,401.610000
324.470000,403.570000
324.580000,405.430000
324.500000,407.200000
323.800000,409.190000
322.140000,411.220000
320.480000,412.990000
318.980000,414.510000
317.060000,415.510000
314.600000,416.340000
311.820000,416.630000
309.190000,416.990000
306.510000,417.010000
304.200000,416.960000
301.600000,416.730000
298.910000,416.090000
296.180000,414.680000
294.080000,413.030000
292.330000,411.690000
291.050000,409.690000
290.500000,407.160000
290.310000,404.810000
290.390000,402.480000
290.870000,400.140000
292.400000,398.040000
294.360000,396.340000
295.880000,395.370000
297.190000,394.260000
299.490000,394.290000
302.110000,394.550000
304.740000,395.650000
307.240000,396.870000
309.430000,397.900000
311.470000,398.950000
313.000000,399.830000
314.840000,401.010000
316.640000,402.540000
318.670000,404.880000
320.380000,407.230000
321.820000,409.680000
322.950000,411.640000
323.870000,413.620000
324.420000,415.930000
324.530000,418.730000
324.420000,421.780000
324.100000,424.830000
323.870000,427.230000
323.260000,429.790000
322.050000,432.450000
320.150000,435.570000
317.820000,438.130000
316.120000,439.730000
314.270000,441.310000
312.470000,442.520000
310.820000,443.310000
308.450000,444.040000
305.770000,444.770000
302.900000,445.130000
299.880000,445.030000
297.600000,444.780000
295.740000,444.680000
294.110000,444.430000
291.610000,443.130000
289.240000,441.560000
286.950000,439.740000
285.130000,438.060000
283.470000,436.340000
282.200000,434.750000
281.070000,431.960000
280.440000,428.980000
280.320000,426.370000
280.180000,424.410000
281.090000,421.920000
282.660000,419.920000
284.440000,418.080000
286.450000,416.490000
287.930000,415.420000
289.580000,414.630000
292.080000,414.240000
294.410000,414.090000
297.310000,414.390000
299.820000,415.180000
301.910000,415.740000
304.020000,416.190000
305.910000,417.100000
308.050000,418.640000
310.170000,420.880000
312.080000,423.230000
313.740000,425.660000
314.890000,427.450000
315.930000,428.980000
316.720000,430.910000
317.280000,433.560000
317.560000,436.500000
317.580000,439.190000
317.280000,441.960000
316.980000,444.360000
316.560000,446.410000
315.600000,448.830000
314.290000,451.040000
312.500000,453.120000
310.630000,455.070000
308.660000,456.830000
306.960000,458.230000
305.160000,459.270000
302.800000,459.390000
300.050000,459.390000
297.110000,459.100000
294.610000,458.820000
292.390000,458.430000
290.250000,457.880000
288.020000,456.960000
285.560000,455.750000
282.890000,454.470000
280.490000,452.790000
278.460000,451.000000
276.840000,449.310000
275.530000,447.930000
274.560000,445.400000
273.930000,442.290000
273.740000,439.290000
273.610000,437.000000
273.600000,435.020000
273.900000,433.020000
275.120000,430.100000
276.760000,427.250000
278.510000,424.550000
279.950000,422.580000
281.020000,420.940000
282.480000,419.370000
284.140000,418.010000
286.760000,416.740000
289.400000,415.320000
292.190000,414.280000
294.730000,413.300000
296.950000,412.680000
298.880000,412.220000
300.980000,412.100000
303.550000,412.100000
306.220000,412.350000
309.030000,413.360000
311.690000,414.680000
313.580000,416.130000
315.420000,418.060000
316.840000,420.480000
317.970000,423.320000
318.810000,426.030000
319.270000,428.670000
319.640000,430.760000
319.590000,433.070000
319.100000,435.660000
317.900000,438.570000
316.490000,441.120000
314.910000,443.410000
313.340000,445.120000
311.870000,446.500000
309.390000,447.780000
306.800000,448.810000
303.940000,449.950000
301.270000,450.910000
299.040000,451.750000
296.900000,452.410000
293.700000,452.840000
290.300000,453.040000
287.330000,453.330000
284.690000,453.960000
282.170000,454.060000
280.210000,453.850000
278.100000,453.640000
275.220000,452.660000
272.940000,451.670000
270.200000,450.570000
267.840000,448.920000
265.860000,447.260000
264.240000,445.940000
262.960000,443.750000
261.970000,441.150000
261.230000,438.470000
260.790000,435.930000
260.630000,433.340000
260.620000,431.340000
261.160000,428.680000
262.250000,425.770000
263.500000,422.970000
264.800000,420.260000
265.950000,418.280000
266.970000,416.390000
268.560000,414.260000
270.850000,412.190000
273.060000,409.990000
274.980000,408.270000
277.160000,406.520000
279.050000,405.360000
280.850000,404.420000
283.310000,403.960000
286.290000,403.700000
289.320000,403.870000
292.110000,404.180000
294.910000,404.450000
297.540000,404.910000
300.420000,405.300000
303.310000,406.260000
306.230000,407.290000
308.700000,408.200000
310.710000,409.180000
312.530000,410.340000
314.170000,412.190000
315.800000,414.760000
316.940000,417.310000
317.710000,419.930000
318.180000,422.320000
318.500000,424.270000
318.680000,425.910000
318.130000,428.400000
316.740000,431.220000
315.190000,433.420000
313.930000,435.220000
312.800000,436.590000
311.680000,437.710000
310.260000,438.770000
307.130000,439.670000
304.480000,440.050000
302.120000,440.260000
299.760000,440.230000
296.820000,439.350000
294.420000,438.560000
292.270000,437.010000
290.130000,435.830000
288.640000,434.410000
287.200000,432.610000
286.530000,429.740000
286.310000,426.820000
286.320000,424.230000
286.430000,422.200000
286.950000,420.180000
288.020000,418.000000
289.780000,416.060000
291.820000,414.160000
294.040000,412.270000
295.660000,410.970000
297.130000,410.020000
299.270000,408.970000
302.100000,407.910000
305.300000,407.050000
308.050000,406.260000
310.920000,405.600000
312.900000,405.270000
314.870000,405.080000
317.150000,405.080000
319.290000,404.810000
322.180000,405.270000
325.030000,406.250000
327.820000,407.210000
330.350000,408.470000
332.870000,411.320000
335.220000,414.660000
336.870000,418.080000
337.910000,420.900000
338.770000,423.470000
339.350000,425.740000
339.880000,427.750000
340.020000,429.670000
339.720000,432.320000
338.950000,435.190000
337.910000,438.280000
336.580000,440.940000
335.200000,443.500000
334.090000,445.440000
332.500000,447.880000
330.930000,450.090000
329.140000,452.630000
326.960000,455.030000
325.150000,457.180000
323.290000,458.930000
320.930000,461.050000
318.630000,462.830000
315.630000,464.620000
313.250000,465.700000
311.210000,466.700000
308.520000,467.440000
305.390000,467.810000
301.770000,467.580000
298.460000,467.080000
296.390000,466.970000
294.400000,466.750000
292.280000,465.920000
289.890000,464.170000
287.830000,462.610000
285.610000,460.610000
283.650000,458.640000
282.070000,456.820000
280.690000,455.040000
279.330000,452.930000
278.000000,450.380000
276.700000,447.690000
275.060000,444.740000
273.470000,442.070000
272.180000,439.730000
270.670000,437.610000
268.260000,435.470000
266.130000,434.210000
263.800000,432.960000
261.820000,431.870000
259.690000,430.980000
256.860000,430.150000
253.710000,429.920000
250.910000,430.330000
248.020000,430.990000
245.790000,431.630000
243.960000,432.000000
242.160000,432.340000
240.130000,433.880000
238.530000,435.900000
237.270000,438.140000
236.370000,440.000000
235.820000,441.790000
235.480000,443.550000
235.250000,444.890000
235.570000,446.710000
236.230000,448.370000
237.850000,450.730000
239.100000,452.890000
240.110000,454.240000
241.840000,455.890000
244.200000,457.300000
246.280000,458.450000
248.490000,459.070000
250.670000,459.410000
252.400000,459.650000
254.380000,459.470000
256.720000,458.190000
259.160000,456.410000
260.930000,454.530000
262.330000,452.910000
263.710000,450.640000
264.700000,447.950000
265.140000,445.150000
265.190000,442.480000
265.010000,440.350000
264.630000,438.100000
263.060000,435.660000
261.380000,433.320000
259.740000,431.360000
257.960000,429.490000
256.150000,428.030000
254.450000,426.510000
252.500000,425.290000
250.130000,424.160000
247.720000,423.170000
244.910000,422.360000
242.470000,421.910000
240.370000,421.390000
238.280000,421.220000
235.990000,421.120000
233.550000,421.400000
231.080000,422.070000
228.520000,423.230000
226.230000,424.250000
223.650000,426.600000
222.530000,430.470000
221.660000,434.260000
220.810000,439.900000
221.690000,445.000000
223.160000,449.500000
224.430000,452.560000
227.340000,456.550000
231.790000,460.070000
235.170000,462.630000
238.580000,464.790000
242.600000,466.580000
247.820000,468.160000
251.490000,469.650000
255.120000,470.160000
257.810000,470.460000
260.420000,470.590000
262.690000,470.620000
266.280000,469.840000
269.760000,468.660000
272.340000,467.670000
274.670000,466.630000
